recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE
1,3C120,,141.4,14.1,7.73,0.15,0.15,2.21,0.05,11.20,0.09,1.00,0.06,0.05,3.8,0.2,11.39,0.00,reverb,45,3C120,NED,68.29623,5.35434
2,3C390.3,,240.3,24.0,8.62,0.16,0.16,2.44,0.03,11.25,0.10,0.64,0.09,0.14,3.9,0.8,11.26,0.04,reverb,26,3C390.3,NED,280.53746,79.77142
3,A1836BCG,,152.4,8.4,9.57,0.06,0.06,2.46,0.02,11.75,0.06,0.89,0.06,0.04,4.9,0.5,,,gas,19,MCG-02-36-002,NED,210.42444,-11.60699
4,A3565BCG,,49.2,3.6,9.11,0.07,0.07,2.51,0.02,11.83,0.07,0.98,0.06,0.04,5.3,0.2,,,gas,19,IC 4296,NED,204.16272,-33.96592
5,Ark120,,140.1,14.0,8.05,0.17,0.17,2.28,0.02,11.20,0.09,0.74,0.07,0.05,3.9,0.4,11.53,0.00,reverb,27,Ark120,NED,79.04748,-0.14990
6,Arp151,,90.3,9.0,6.65,0.16,0.16,2.07,0.01,10.62,0.09,0.45,0.13,0.10,10.9,3.3,,,reverb,8,Arp151,NED,171.40063,54.38259
7,Circinus,,2.8,0.5,6.06,0.10,0.10,2.20,0.05,10.22,0.12,0.18,0.13,0.09,6.7,0.6,,,maser,36,NAME Circinus Galaxy,NED,213.29127,-65.33902
8,CygnusA,,257.1,25.7,9.41,0.13,0.13,2.43,0.02,12.24,0.10,1.46,0.08,0.05,4.4,0.4,,,gas,81,NAME Cygnus A,NED,299.86815,40.73392
9,ESO558-009,,102.5,10.2,7.22,0.03,0.03,2.23,0.05,11.13,0.10,0.68,0.13,0.09,5.6,0.7,10.10,0.09,maser,34,ESO558-009,NED,106.08751,-21.58871
10,Fairall9,,201.4,20.1,8.27,0.21,0.21,2.35,0.08,11.57,0.09,0.88,0.07,0.07,4.1,0.7,11.42,0.02,reverb,"71,88",Fairall9,NED,20.94062,-58.80574
11,Henize2-10,,9.0,0.9,0.00,7.00,0.00,1.54,0.19,9.68,0.10,-0.33,0.10,0.06,5.1,0.7,,,star,62,Hen 2-10,NED,129.06329,-26.40935
12,IC0342,,3.7,0.4,6.41,0.29,6.41,1.78,0.17,10.65,0.10,0.83,0.11,0.13,3.4,0.2,,,gas,7,IC0342,NED,56.70214,68.09611
13,IC1459,,28.9,3.7,9.39,0.08,0.08,2.53,0.02,11.64,0.11,0.80,0.08,0.05,5.9,0.3,,,star,14,IC1459,NED,344.29420,-36.46222
14,IC1481,,89.9,9.0,7.15,0.13,0.13,1.98,0.12,10.99,0.09,0.50,0.06,0.06,4.4,0.5,9.73,0.12,maser,"43,88",IC1481,NED,349.85458,5.90621
15,IC2560,,41.8,4.2,7.64,0.05,0.05,2.15,0.03,11.26,0.10,1.09,0.10,0.05,4.5,0.5,9.60,0.07,maser,34,IC2560,NED,154.07777,-33.56385
16,IC3639,,44.8,4.5,7.01,0.35,7.01,1.96,0.02,10.76,0.09,0.33,0.05,0.07,3.8,0.5,9.71,0.13,gas,7,IC3639,NED,190.22032,-36.75585
17,J0437+2456,,66.0,6.6,6.45,0.03,0.03,2.04,0.05,10.61,0.08,0.70,0.05,0.04,3.0,0.4,9.57,0.03,maser,34,2MASX J04370366+2456067,NED,69.26533,24.93525
18,Mrk0050,,100.3,10.0,7.40,0.18,0.18,2.03,0.06,10.44,0.08,0.30,0.06,0.07,3.2,0.8,9.93,0.03,reverb,4,Mrk0050,NED,185.85059,2.67900
19,Mrk0079,,95.0,9.5,7.58,0.23,0.23,2.11,0.04,11.17,0.09,0.93,0.06,0.04,3.2,0.3,10.99,0.00,reverb,71,Mrk0079,NED,115.63699,49.80973
20,Mrk0202,,90.0,9.0,6.11,0.28,0.28,1.89,0.02,10.48,0.10,0.35,0.09,0.10,5.8,2.0,9.48,0.21,reverb,8,Mrk0202,NED,184.47901,58.65990
21,Mrk0509,,147.3,14.7,8.03,0.15,0.15,2.26,0.03,11.19,0.10,0.58,0.09,0.09,4.1,0.7,11.54,0.01,reverb,71,Mrk0509,NED,311.04070,-10.72346
22,Mrk0590,,113.0,11.3,7.55,0.18,0.18,2.28,0.01,11.58,0.09,0.96,0.06,0.05,5.1,0.4,11.14,0.01,reverb,71,Mrk0590,NED,33.63991,-0.76674
23,Mrk0817,,134.7,13.5,7.57,0.18,0.18,2.08,0.05,11.17,0.08,0.76,0.05,0.05,3.6,0.6,11.23,0.00,reverb,24,Mrk0817,NED,219.09222,58.79415
24,Mrk1216,,94.0,9.4,9.30,0.70,9.30,2.49,0.01,11.29,0.09,0.47,0.07,0.06,6.6,2.2,,,star,96,Mrk1216,NED,127.19634,-6.94018
25,Mrk1310,,83.8,8.4,6.19,0.19,0.19,1.92,0.03,10.35,0.10,0.28,0.08,0.06,2.8,0.6,10.02,0.01,reverb,8,Mrk1310,NED,180.30980,-3.67805
26,NGC0193,,49.7,5.0,8.40,0.32,0.32,2.27,0.04,11.24,0.08,0.83,0.07,0.05,5.9,0.3,,,gas,7,NGC0193,NED,9.82741,3.33135
27,NGC0205,,0.7,0.1,0.00,4.34,0.00,1.59,0.07,8.66,0.11,-0.25,0.08,0.05,3.4,0.5,,,star,85,NGC0205,NED,10.09198,41.68530
28,NGC0221,,0.8,0.0,6.39,0.19,0.19,1.87,0.02,9.11,0.04,-0.90,0.04,0.02,5.0,0.3,,,star,87,NGC0221,NED,10.67427,40.86517
29,NGC0289,,17.1,1.7,7.38,0.30,7.38,2.03,0.05,10.60,0.08,0.35,0.04,0.04,3.0,0.2,,,gas,7,NGC0289,NED,13.17652,-31.20583
