recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE,lum_compactness
102,NGC3621,,6.6,0.7,6.0,0.48,6.0,1.79,0.03,10.46,0.1,0.63,0.11,0.06,4.9,0.6,,,star,3,NGC3621,NED,169.56792,-32.8126,9.200000000000001
103,NGC3627,,10.1,1.1,6.93,0.05,0.05,2.09,0.01,11.02,0.09,0.63,0.07,0.05,4.0,0.4,,,stars,75,NGC3627,NED,170.06261,12.99129,9.76
104,NGC3642,,21.6,2.2,7.42,0.04,7.42,1.97,0.11,10.35,0.1,0.27,0.06,0.05,4.5,0.3,,,gas,7,NGC3642,NED,170.57506,59.07424,9.809999999999999
105,NGC3665,,34.7,6.7,8.76,0.09,0.09,2.34,0.02,11.5,0.15,0.8,0.09,0.08,5.4,0.3,,,CO,67,NGC3665,NED,171.18179,38.76279,9.9
106,NGC3675,,12.4,1.2,7.26,0.29,7.26,2.02,0.02,10.83,0.09,0.55,0.06,0.05,4.0,0.2,,,gas,7,NGC3675,NED,171.53577,43.58592,9.73
107,NGC3706,,46.0,4.6,9.77,0.06,0.06,2.51,0.01,11.58,0.08,0.8,0.05,0.04,5.8,0.4,,,star,39,NGC3706,NED,172.4351,-36.39126,9.98
108,NGC3783,,41.7,4.2,7.36,0.19,0.19,1.98,0.05,11.06,0.1,0.69,0.06,0.05,3.6,0.4,10.58,0.01,reverb,68,NGC3783,NED,174.75717,-37.7385,9.68
109,NGC3801,,46.3,4.6,8.28,0.31,0.31,2.32,0.04,11.22,0.09,0.78,0.09,0.06,5.5,0.4,,,gas,7,NGC3801,NED,175.0704,17.72791,9.66
110,NGC3842,,92.2,10.6,9.96,0.14,0.14,2.44,0.02,11.81,0.11,1.11,0.07,0.06,5.4,0.2,,,star,56a,NGC3842,NED,176.00905,19.94982,9.59
111,NGC3862,,84.6,8.5,8.41,0.37,0.37,2.32,0.03,11.59,0.09,1.08,0.1,0.07,6.5,0.3,,,gas,7,NGC3862,NED,176.27087,19.60632,9.43
112,NGC3923,,20.9,2.7,9.45,0.12,0.12,2.35,0.02,11.5,0.11,0.89,0.1,0.06,5.1,0.4,,,stars,75,NGC3923,NED,177.75743,-28.80621,9.72
113,NGC3945,,19.5,2.0,6.94,0.46,6.94,2.25,0.02,10.89,0.09,0.29,0.07,0.05,4.8,0.4,,,star,37,NGC3945,NED,178.30719,60.67556,10.31
114,NGC3953,,15.4,1.5,7.33,0.29,0.29,2.11,0.01,11.05,0.1,0.87,0.09,0.05,4.7,0.4,,,gas,7,NGC3953,NED,178.45428,52.32654,9.31
115,NGC3982,,15.9,1.6,6.95,0.26,6.95,1.89,0.01,10.23,0.09,0.16,0.06,0.05,3.2,0.4,,,gas,7,NGC3982,NED,179.11737,55.12536,9.91
116,NGC3992,,15.3,1.5,7.51,0.28,0.28,2.09,0.06,11.15,0.12,1.07,0.13,0.06,4.3,0.5,,,gas,7,NGC3992,NED,179.39993,53.37452,9.01
117,NGC3998,,14.3,1.3,8.93,0.05,0.05,2.35,0.02,10.71,0.07,0.11,0.06,0.05,5.6,0.3,9.15,0.27,star,90,NGC3998,NED,179.48389,55.45359,10.49
118,NGC4026,,13.4,1.7,8.26,0.12,0.12,2.19,0.02,10.55,0.11,0.22,0.07,0.07,6.0,0.3,,,star,37,NGC4026,NED,179.85495,50.96169,10.110000000000001
119,NGC4036,,19.0,1.9,7.89,0.36,0.36,2.26,0.02,10.9,0.09,0.43,0.06,0.04,5.0,0.3,,,gas,7,NGC4036,NED,180.36205,61.8957,10.040000000000001
120,NGC4051,,10.0,1.0,6.1,0.25,0.25,1.95,0.01,10.28,0.08,0.6,0.04,0.04,3.5,0.2,9.28,0.01,reverb,23,NGC4051,NED,180.79036,44.53126,9.08
121,NGC4088,,11.9,1.2,6.79,0.29,6.79,1.93,0.02,10.5,0.08,0.55,0.04,0.04,3.2,0.1,,,gas,7,NGC4088,NED,181.39245,50.53903,9.4
